gene	gene groups
AT1G30230	1
AT2G18020	1
AT5G02500	1
AT1G72370	1
AT1G02780	1
AT5G19510	1
AT4G18730	1
AT4G34670	1
AT2G21660	1
AT2G41840	1
AT3G62870	1
AT2G27530	1
AT5G39740	1
AT4G18100	1
AT3G09500	1
AT5G27850	1
AT1G18080	1
AT1G67430	1
AT4G13940	1
AT1G14320	1
AT1G33140	1
AT5G07090	1
AT3G49910	1
AT5G15200	1
AT1G56070	1
AT4G00100	1
AT1G09690	1
AT4G01610	1
AT3G60245	1
AT3G62250	1
AT1G43170	1
AT5G02960	1
AT3G04920	1
AT5G16130	1
AT1G04270	1
AT2G27710	1
AT3G11510	1
AT1G15930	1
AT4G16720	1
AT1G70600	1
AT5G47700	1
AT5G10360	1
AT2G19730	1
AT5G20290	1
AT3G49010	1
AT3G09200	1
AT1G52300	1
AT3G52590	1
AT2G17360	1
AT2G39460	1
AT3G05590	1
AT2G37270	1
AT2G27720	1
AT4G17390	1
AT3G04400	1
AT3G11940	1
AT4G31700	1
AT4G39200	1
AT2G01250	1
AT4G27090	1
AT5G41520	1
AT2G47610	1
AT1G08360	1
AT2G21580	1
AT2G47110	1
AT1G74050	1
AT3G45030	1
AT1G26630	1
AT1G33120	1
AT1G69620	1
AT1G57720	1
AT5G58420	1
AT3G48930	1
AT3G06700	1
AT3G24830	1
AT5G35530	1
AT1G01100	1
AT1G07770	1
AT3G18740	1
AT3G53870	1
AT3G25520	1
AT5G56710	1
AT2G31610	1
AT4G15000	1
AT1G15500	1
AT3G07110	1
AT2G44120	1
AT5G02870	1
AT1G41880	1
AT2G36160	1
AT5G02450	1
AT2G34480	1
AT3G53740	1
AT3G59540	1
AT5G23740	1
AT3G60770	1
AT1G07930	1
AT1G22780	1
AT5G02610	1
AT1G34030	1
AT1G27400	1
AT4G09320	1
AT4G34200	1
AT3G44750	1
AT3G08580	1
AT1G56045	1
AT2G40205	1
AT3G44010	1
AT1G23290	1
AT3G56070	1
AT5G27700	1
AT3G47370	1
AT3G53430	1
AT5G52650	1
AT4G31985	1
AT3G04840	1
AT3G56340	1
AT3G05560	1
AT5G22650	1
AT1G04410	1
AT5G60390	1
AT4G14320	1
AT3G53020	1
AT3G13580	1
AT3G09630	1
AT5G57290	1
AT4G24190	1
AT5G45775	1
AT3G18490	1
AT4G34870	1
AT5G28060	1
AT1G56340	1
AT2G25210	1
AT5G09510	1
AT3G56020	1
AT3G28900	1
AT2G46280	1
AT5G59850	1
AT4G25740	1
AT1G13440	1
AT1G74560	1
AT3G61110	1
AT2G32060	1
AT4G26230	1
AT2G47470	1
AT2G37190	1
AT4G33865	1
AT5G42890	1
AT5G14800	1
AT1G74060	1
AT2G36620	1
AT2G43460	1
AT3G02080	1
AT5G56670	1
AT4G11010	1
AT4G09800	1
AT3G23390	1
AT3G06860	1
AT3G11120	1
AT5G47930	1
AT3G03920	1
AT4G12600	1
AT5G61020	1
AT5G03850	1
AT3G16080	1
AT2G44860	1
AT1G69510	1
AT2G21160	1
AT5G17920	1
AT2G16600	1
AT5G27770	1
AT4G02520	1
AT1G17880	1
AT3G02560	1
AT5G28540	1
AT2G37600	1
AT1G18540	1
AT5G47210	1
AT4G36130	1
AT1G74270	1
AT3G46040	1
AT3G08520	1
AT1G66410	1
AT1G23820	1
AT2G31410	1
AT1G04480	1
AT4G29410	1
AT3G53890	1
AT1G57660	1
AT1G22300	1
AT2G45070	1
AT5G18380	1
AT3G55750	1
AT3G58610	1
AT1G66580	1
AT3G52300	1
AT3G51800	1
AT2G19750	1
AT4G15910	1
AT4G02230	1
AT3G10920	1
AT5G22440	1
AT1G65290	1
AT5G14030	1
AT2G05710	1
AT1G56450	1
AT4G00810	1
AT3G62530	1
AT1G09590	1
AT3G09820	1
AT1G07940	1
AT3G01280	1
AT4G34110	1
AT2G39390	1
AT4G29390	1
AT1G07920	1
AT5G61170	1
AT5G50460	1
AT2G36170	1
AT3G22230	1
AT1G48830	1
AT5G62300	1
AT3G52930	1
AT3G14600	1
AT4G14960	1
AT1G77510	1
AT5G62700	1
