S1	M1	L1	S2	M2	L2	S3	M3	L3	S4	M4	L4
AT1G01010	7	2	1	0	9	8	3	3	8	2	3	4
AT1G01020	4	2	7	2	11	12	5	5	3	0	4	2
AT1G01030	0	0	3	4	1	2	0	5	8	3	0	0
AT1G01040	1	7	14	7	10	23	6	9	23	2	7	4
AT1G01050	10	18	16	5	35	40	29	20	41	7	23	32
AT1G01060	6	1	1	1	4	6	3	1	5	0	2	0
AT1G01070	0	0	0	1	0	0	0	0	0	0	0	0
AT1G01080	1	2	1	0	5	3	3	2	3	0	5	7
AT1G01090	3	8	9	8	10	22	9	6	14	4	8	5
AT1G01100	63	103	104	48	179	294	208	113	265	59	128	140
AT1G01110	1	2	0	1	0	3	1	0	0	2	0	2
AT1G01120	2	0	0	3	0	0	0	0	3	0	1	0
AT1G01130	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01140	0	1	0	2	1	4	7	0	1	2	0	1
AT1G01150	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01160	34	48	60	28	79	156	103	57	111	35	59	63
AT1G01170	84	165	133	66	241	311	275	165	313	104	149	136
AT1G01180	11	22	20	10	18	24	12	15	17	5	18	11
AT1G01190	0	1	1	2	3	0	2	0	1	0	3	2
AT1G01200	1	0	0	1	0	3	2	1	2	0	1	1
AT1G01210	1	8	6	5	14	16	10	10	19	5	10	5
AT1G01220	4	0	3	1	1	5	2	4	11	0	4	2
AT1G01225	3	1	0	0	2	3	2	3	2	0	0	2
AT1G01230	43	48	37	29	64	117	73	49	117	37	57	53
AT1G01240	108	119	126	78	205	349	243	158	321	84	186	139
AT1G01250	4	6	4	2	5	13	9	15	9	3	13	3
AT1G01260	7	6	8	4	15	21	8	9	25	4	9	15
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290	0	2	5	0	0	8	2	3	16	2	5	3
AT1G01300	12	7	13	6	36	39	23	16	40	6	24	18
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01320	21	26	15	6	46	64	41	37	46	16	22	36
AT1G01335	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01340	3	1	1	1	5	2	3	2	1	1	4	0
AT1G01350	23	36	25	20	56	90	63	31	81	21	40	37
AT1G01355	4	3	5	1	9	7	9	5	6	3	7	2
AT1G01360	13	15	18	13	21	60	22	23	36	19	22	28
AT1G01370	0	0	0	0	0	0	0	1	0	0	0	0
AT1G01380	1	0	0	0	2	0	0	0	0	0	0	1
AT1G01390	0	0	0	1	0	0	0	0	0	0	0	0
AT1G01400	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	0	6	5	5	4	11	3	5	7	5	5	5
AT1G01430	4	0	1	1	3	4	2	1	3	0	2	1
AT1G01440	6	5	8	5	10	13	4	8	11	1	12	9
AT1G01448	11	9	16	13	18	47	38	19	47	7	15	18
AT1G01450	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01453	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01460	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01470	387	441	362	276	620	1068	1143	442	768	344	476	430
AT1G01480	24	44	33	29	56	69	71	38	83	19	47	41
AT1G01490	5	4	7	5	15	9	6	2	11	3	8	13
AT1G01500	28	35	35	21	68	97	74	46	86	30	64	40
AT1G01510	4	5	5	6	14	17	10	8	11	1	9	9
AT1G01520	2	17	19	5	12	53	20	16	45	3	38	27
AT1G01530	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01540	4	2	4	1	5	11	3	7	9	1	5	4
AT1G01550	91	78	63	55	99	212	139	100	163	53	100	64
AT1G01560	0	0	0	0	0	0	0	0	1	0	0	0
AT1G01570	0	0	1	0	0	0	0	0	0	0	1	0
AT1G01580	16	20	26	8	23	47	16	22	49	10	21	14
AT1G01590	0	0	0	0	0	0	0	1	0	0	0	0
AT1G01600	2	3	0	1	1	3	4	2	4	1	1	0
AT1G01610	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01620	0	4	0	4	5	4	5	4	0	1	0	3
AT1G01630	0	1	0	2	1	0	0	1	5	2	1	0
AT1G01640	1	6	1	2	0	3	1	0	7	3	2	0
AT1G01650	99	116	102	62	138	299	154	130	204	59	130	93
AT1G01660	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01670	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01680	0	0	0	0	0	0	1	1	0	0	0	0
AT1G01690	2	0	0	0	3	2	0	2	1	0	1	1
AT1G01695	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01700	0	0	0	0	0	0	0	0	0	0	1	0
AT1G01710	20	28	27	21	62	73	53	31	48	28	34	21
AT1G01715	2	1	2	3	7	9	9	4	9	0	5	8
AT1G01720	1079	1621	1548	793	2342	4402	2318	1900	3727	999	1967	1655
AT1G01725	7	13	9	7	20	28	20	13	24	8	14	13
AT1G01730	33	47	47	20	82	117	69	64	97	36	59	66
AT1G01740	1	1	3	0	1	6	2	2	2	1	0	3
AT1G01750	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01760	0	0	0	0	2	1	1	0	2	0	0	0
AT1G01770	9	11	14	5	10	14	16	16	19	2	13	12
AT1G01780	2	2	1	1	8	12	10	7	3	3	5	2
AT1G01790	0	2	1	2	0	0	0	1	1	0	0	0
AT1G01800	29	53	42	22	62	116	71	31	87	32	45	39
AT1G01810	0	3	3	5	6	10	6	5	9	2	5	3
AT1G01820	67	80	84	70	153	250	194	123	190	64	115	90
AT1G01830	1	1	3	2	2	2	2	0	3	0	2	7
AT1G01840	0	2	4	1	2	5	1	3	7	1	0	3
AT1G01860	1	4	2	0	7	9	9	3	3	3	7	0
AT1G01870	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01880	2	3	1	2	1	9	2	3	5	4	9	5
AT1G01890	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01900	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01910	9	10	13	10	29	48	62	23	33	20	24	11
AT1G01920	8	11	9	4	13	27	18	7	16	9	10	7
AT1G01930	19	28	24	14	41	49	37	26	40	18	33	24
AT1G01940	5	9	14	9	24	24	20	13	21	6	14	9
AT1G01950	0	3	4	5	4	6	6	3	3	2	4	2
